	max_temperature	avg_temperature	min_temperature	max_humidex	max_humidex	precipitation
0	32.4	26.25	20.1	39.0	39.0	0.0
1	31.9	25.4	18.9	36.0	36.0	0.0
2	29.6	25.75	21.9	34.0	34.0	0.0
3	31.6	26.25	20.9	39.0	39.0	21.4
4	33.7	28.15	22.6	41.0	41.0	0.0
5	31.3	25.45	19.6	38.0	38.0	0.0
6	28.0	22.6	17.2	35.0	35.0	12.7
7	27.0	22.7	18.4	32.0	32.0	0.9
8	26.1	22.6	19.1	32.0	32.0	0.0
9	29.7	24.95	20.2	36.0	36.0	0.0
10	34.5	28.5	22.5	40.0	40.0	0.0
11	30.4	24.9	19.4	37.0	37.0	0.8
12	26.5	20.14	13.8	27.0	27.0	0.0
13	27.7	21.75	15.8	28.0	28.0	0.0
14	31.4	24.29	17.2	35.0	35.0	0.0
